date;home_team;away_team;home_goals;away_goals;home_xG;away_xG;home_xpts;away_xpts;year;match_index
19.10.2019 15:00;Tottenham;Southampton;1;1;0.891617;1.37695;1.3987999999999998;1.7256;2019;2019-10-19_Tottenham_vs_Southampton
18.01.2020 15:00;Arsenal;Aston Villa;1;1;1.22882;1.02045;1.3849;1.0922;2019;2020-01-18_Arsenal_vs_Aston Villa
07.03.2020 15:00;Arsenal;Norwich;1;0;1.55974;2.55449;1.3209;2.4715;2019;2020-03-07_Arsenal_vs_Norwich
26.07.2020 15:00;Newcastle;Bournemouth;1;3;0.339294;1.46461;1.0681;1.0957;2019;2020-07-26_Newcastle_vs_Bournemouth
24.08.2019 15:00;Man United;Leicester;1;2;2.23561;0.704879;2.4881;1.3218;2019;2019-08-24_Man United_vs_Leicester
04.12.2019 19:30;Man United;Aston Villa;2;1;1.47683;0.86086;2.2216;0.6134;2019;2019-12-04_Man United_vs_Aston Villa
23.02.2020 14:00;Man United;Norwich;3;0;2.5042;0.360646;2.788;0.0293;2019;2020-02-23_Man United_vs_Norwich
21.12.2019 15:00;Brighton;Burnley;0;1;0.428371;0.144318;0.3871;1.1229;2019;2019-12-21_Brighton_vs_Burnley
28.09.2019 14:00;Wolves;Norwich;2;0;1.16363;0.712129;1.4304;0.5259;2019;2019-09-28_Wolves_vs_Norwich
26.12.2019 15:00;Sheffield United;Arsenal;1;1;2.04481;1.42464;2.5145;1.2271999999999998;2019;2019-12-26_Sheffield United_vs_Arsenal
